Original_Latitude,Original_Longitude,Venue_Name,Address,Latitude,Longitude,Categories,Rating,TotalRatings
45.55969734528566,-73.60145956277847,Restaurant les Deux Fours,"2379 Belanger Rue (near Iberville), Montréal QC H2G 1E4",45.551265,-73.599505,"['Pizzeria', 'Italian Restaurant', 'Peruvian Restaurant']",,
45.55969734528566,-73.60145956277847,Pho Ngon,"3205 Cremazie Blvd E (Crémazie), Montréal QC H1Z 4M5",45.562234,-73.607816,['Vietnamese Restaurant'],,
45.55969734528566,-73.60145956277847,Le Petit Coin Mexicain,"2474 Jean-Talon Rue E (Iberville), Montréal QC H2E 1W2",45.553258,-73.602091,['Mexican Restaurant'],,
45.55969734528566,-73.60145956277847,Restaurant Steve Anna,"3302 Belanger Rue (12me), Montréal QC H1X 1A1",45.557929,-73.593274,['Grocery Store'],,
45.55969734528566,-73.60145956277847,Rôtisseries Benny & Au Coq,"3397 Saint-Zotique Rue E, Montréal QC H1X 1C7",45.5575127,-73.5893507,"['Fried Chicken Joint', 'Fast Food Restaurant']",,
45.55969734528566,-73.60145956277847,Restaurant Pho Nam Inc,"3250 Cremazie Blvd E (Saint-Michel), Montréal QC H2A 3N9",45.563075,-73.605613,['Vietnamese Restaurant'],,
45.55969734528566,-73.60145956277847,Marché Kim Hour Inc,"7734 Saint-Michel Blvd (at Crémazie Est), Montréal QC H2A 3A5",45.561716,-73.605374,"['Cantonese Restaurant', 'Seafood Restaurant', 'Vietnamese Restaurant']",,
45.55969734528566,-73.60145956277847,Subway,"7900 St Michel Blvd, Montréal QC H1Z 3E1",45.562292,-73.607769,"['Deli', 'Fast Food Restaurant', 'Sandwich Spot']",,
45.55969734528566,-73.60145956277847,Harvey's,"3201 Cremazie Blvd E (10e Avenue), Montréal QC H1Z 4M5",45.561773,-73.608092,['Restaurant'],,
45.55463653358596,-73.61255215771962,Thai Sep,"1900 Jean-Talon Rue E, Montréal QC H2E 1T6",45.548626,-73.606206,"['Thai Restaurant', 'Meat and Seafood Store']",,
