name,latitude,longitude,free_bikes,empty_slots
Joseph-Manseau / René-Levesque,45.491686521008035,-73.57682347297668,13,5
Henri-Julien / Laurier,45.52574657625029,-73.59033644199371,4,14
Waverly / Van Horne,45.527363,-73.607723,12,3
Ste-Catherine / St-Mathieu,45.49384690142783,-73.57917845249176,23,7
Gilford / St-Denis,45.52497612960628,-73.58558893203735,19,13
Chabot / du Mont-Royal,45.53413436610844,-73.57352435588837,12,11
Boyer / du Mont-Royal,45.527432126380575,-73.57991673052311,3,22
Mackay / Ste-Catherine,45.495774063803815,-73.57687845826149,11,16
St-Hubert / Laurier,45.52893724049854,-73.58786880970001,3,15
Coloniale / Duluth,45.51786873150825,-73.57842743396758,15,4
de l'Esplanade / du Mont-Royal,45.51825290855221,-73.5883381962776,15,7
St-Dominique / Laurier,45.52361490311454,-73.59245739877223,4,19
Hutchison / Prince-Arthur,45.50975858607626,-73.57610732316971,19,3
Plessis / Ontario,45.523593057451045,-73.56109768152237,17,2
Sherbrooke / Frontenac,45.53673221553339,-73.560796189131,3,12
27e avenue / Rosemont,45.563709940264175,-73.57139468193054,2,15
St-Germain / Hochelaga,45.543652466151,-73.5534825682771,7,7
Fullum / de Rouen,45.53225536243612,-73.55892024004788,14,9
29e avenue / St-Zotique,45.56776565172907,-73.57968807220459,6,9
Wolfe / Robin,45.51959908817399,-73.56020073872969,14,7
Chomedey / de Maisonneuve,45.491750449903954,-73.58394473791122,18,7
Letourneux / Ste-Catherine,45.55078357889704,-73.53409996037954,18,0
Rachel / de Brébeuf,45.526911494644025,-73.5727014299664,19,6
Mansfield / Ste-Catherine,45.50140664031126,-73.57165485620499,0,43
Poupart / Logan,45.52997432204594,-73.54900679552884,7,16
Parc Ludger-Duvernay (St-André / St-Hubert),45.53147464147482,-73.59242051839828,5,14
Lucien L'Allier / St-Jacques,45.49354367087787,-73.568536271232,8,14
Milton / University,45.50651983995355,-73.57640504837036,11,28
Métro Bonaventure (de la Gauchetière / de la Cathédrale),45.49831217703312,-73.56725603342056,0,27
Clark / Laurier,45.522583792261266,-73.59361327255101,8,9
Labadie / du Parc,45.5198946757576,-73.59682738780975,10,9
St-Zotique / Clark,45.53143760098197,-73.61270070075989,3,12
Bélanger / St-Denis,45.53696,-73.61199,11,9
Tupper / du Fort,45.491202175002506,-73.58074486255646,7,8
Cartier / Rosemont,45.54124722370603,-73.59104454517365,6,10
1ere avenue / Jean-Talon,45.55490679722509,-73.60114574432373,5,9
de Bordeaux / St-Zotique,45.546534315701145,-73.59866335988045,7,16
de Castelnau / Lajeunesse,45.54043190217008,-73.61650675535202,5,17
Wolfe / de la Gauchetière,45.51625372636654,-73.55291748050148,20,6
Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525128436,-73.6148879583925,4,19
Bloomfield / Bernard,45.520338193708305,-73.60775470733641,5,20
St-Cyril / Wiseman,45.52085479492202,-73.61573964357376,1,22
Métro Jean-Talon (Berri / Jean-Talon),45.53900036432657,-73.6142510175705,5,13
Dollard / Bernard,45.51678269880724,-73.61142262816429,6,16
Dollard / Van Horne,45.51887607468706,-73.6161071062088,6,13
Graham / Brookfield,45.52022241072457,-73.62985610961914,3,20
Regina / de Verdun,45.46729397908692,-73.57081098485651,15,3
Victoria Hall,45.48129146961133,-73.6003303527832,11,3
Victoria / de Maisonneuve,45.47742856483265,-73.60016942024231,11,2
Place Longueuil,45.52841043752244,-73.51716578006744,1,13
Parc Benny (Benny / de Monkland),45.46693565237702,-73.63153114914894,12,11
Querbes / Laurier,45.517503062030734,-73.59790614807935,14,1
Berlioz / de l'Île des Soeurs,45.45998577640931,-73.54395568370819,20,1
Métro Lasalle (de Rushbrooke / Caisse),45.47039991066639,-73.56551858292733,13,9
Place du Commerce,45.46714,-73.54259,8,25
Métro Villa-Maria (de Monkland / Décarie),45.4789683985657,-73.61959934234618,0,25
des Ormeaux / Notre-Dame,45.59926552299961,-73.51226069033146,18,4
La Ronde,45.52156536710626,-73.53533238172531,1,21
Wilderton  / Van Horne,45.51014162409143,-73.6247518658638,13,13
U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.45750908083069,-73.6394852399826,4,23
